,name,count,capacity,freq,timings,formFactor,type,price,link
20,Kingston Fury Beast Black KF426C16BBK2/16 ,2,8,2666,16-18-18,"DIMM, 288-pin",DDR4 ,4090,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-2666mhz-kingston-kf426c16bbk2-16-rtl-pc4-21300-cl16-1560735/
21,Digma DGMAS31600004D ,1,4,1600,11-11-11-28,"SO-DIMM, 204-pin",DDR3 ,790,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-digma-dgmas31600004d-rtl-pc3-12800-cl11-so-dim-1784232/
22,Patriot PSD38G16002 ,1,8,1600,11-11-11,"DIMM, 240-pin",DDR3 ,1690,https://www.citilink.ru/product/modul-pamyati-patriot-xms3-dhx-psd38g16002-ddr3-8gb-1600-dimm-ret-352753/
23,Patriot PSD34G160081 ,1,4,1600,?,"DIMM, 240-pin",DDR3 ,950,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g160081-ddr3-4gb-1600-dimm-ret-422564/
24,Patriot PSD38G16002S ,1,8,1600,11-11-11,"SO-DIMM, 204-pin",DDR3 ,1590,https://www.citilink.ru/product/modul-pamyati-patriot-psd38g16002s-ddr3-8gb-1600-so-dimm-ret-352745/
25,AMD Radeon R7 Performance Series R748G2400S2S-U ,1,8,2400,16-16-16-36,"SO-DIMM, 260-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-2400mhz-amd-r748g2400s2s-u-radeon-r7-performance-serie-1777113/
26,Digma DGMAD43200008S ,1,8,3200,22-22-22-52,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-digma-dgmad43200008s-rtl-pc4-25600-cl22-dimm-2-1784387/
27,NETAC Basic NTBSD3P16SP-08 ,1,8,1600,11-11-11-28,"DIMM, 240-pin",DDR3 ,1290,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-netac-ntbsd3p16sp-08-basic-rtl-pc3-12800-cl11-1740126/
28,Kingston VALUERAM KVR16S11S8/4WP ,1,4,1600,11-11-11,"SO-DIMM, 204-pin",DDR3 ,1990,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-kingston-kvr16s11s8-4wp-rtl-pc3-12800-cl11-204-1508035/
29,Hikvision HKED3042AAA2A0ZA1/4G ,1,4,1600,?,"SO-DIMM, 204-pin",DDR3L,790,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-hikvision-hked3042aaa2a0za1-4g-oem-pc3-12800-c-1848232/
30,AMD Radeon R7 Performance Series R7416G2606U2S-U ,1,16,2666,16-18-18-35,"DIMM, 288-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-amd-r7416g2606u2s-u-radeon-r7-performance-ser-1667202/
31,KINGSPEC KS3200D4P12016G ,1,16,3200,?,"DIMM, 288-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingspec-ks3200d4p12016g-rtl-long-dimm-288-pi-1742112/
32,Digma DGMAD31600008D ,1,8,1600,11-11-11-28,"DIMM, 240-pin",DDR3L,1290,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-digma-dgmad31600008d-rtl-pc3-12800-cl11-dimm-2-1784252/
33,Digma DGMAD31333004D ,1,4,1333,9-9-9-24,"DIMM, 240-pin",DDR3 ,790,https://www.citilink.ru/product/pamyat-ddr3-4gb-1333mhz-digma-dgmad31333004d-rtl-pc3-10600-cl9-dimm-24-1784224/
34,Kingston Fury Beast Black KF432C16BB1/16 ,1,16,3200,16-18-18,"DIMM, 288-pin",DDR4 ,3990,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingston-kf432c16bb1-16-rtl-pc4-25600-cl16-di-1560164/
35,Patriot Signature PSD48G240081 ,1,8,2400,?,"DIMM, 288-pin",DDR4 ,1590,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd48g240081-ddr4-8gb-2400-dimm-ret-389002/
36,Digma DGMAD31600004D ,1,4,1600,11-11-11-28,"DIMM, 240-pin",DDR3 ,790,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-digma-dgmad31600004d-rtl-pc3-12800-cl11-dimm-2-1784237/
37,KINGSPEC KS3200D4N12016G ,1,16,3200,?,"SO-DIMM, 260-pin",DDR4 ,3090,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingspec-ks3200d4n12016g-rtl-so-dimm-204-pin-1742125/
38,Kingston Fury Beast RGB KF432C16BB1AK2/32 ,2,16,3200,16-18-18,"DIMM, 288-pin",DDR4 ,8790,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3200mhz-kingston-kf432c16bb1ak2-32-fury-beast-rgb-r-1808884/
39,Kingston VALUERAM KVR16LS11/8WP ,1,8,1600,11-11-11,"SO-DIMM, 204-pin",DDR3L,3990,https://www.citilink.ru/product/pamyat-ddr3l-8gb-1600mhz-kingston-kvr16ls11-8wp-rtl-pc3-12800-cl11-so-1520961/
40,KINGSPEC KS2666D4P12016G ,1,16,2666,?,"DIMM, 288-pin",DDR4 ,2690,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingspec-ks2666d4p12016g-rtl-long-dimm-288-pi-1742109/
41,Kingston Fury Beast KF556C40BBK2-32 ,2,16,5600,40-40-40,"DIMM, 288-pin",DDR5 ,12490,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-5600mgc-kingston-kf556c40bbk2-32-fury-beast-rtl-cl4-1676549/
42,Patriot PSD34G13332S ,1,4,1333,?,"SO-DIMM, 204-pin",DDR3 ,950,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g13332s-ddr3-4gb-1333-so-dimm-ret-599571/
43,KINGSPEC KS2666D4N12008G ,1,8,2666,?,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-kingspec-ks2666d4n12008g-rtl-pc3-12800-so-dimm-1742118/
44,KINGSPEC KS2666D4P12008G ,1,8,2666,?,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-kingspec-ks2666d4p12008g-rtl-long-dimm-288-pin-1742108/
45,AMD R534G1601U1S-U ,1,4,1600,11-11-11-28,"DIMM, 240-pin",DDR3 ,790,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-amd-r534g1601u1s-u-rtl-pc3-12800-cl11-dimm-240-1777111/
46,Patriot PSD38G13332 ,1,8,1333,?,"DIMM, 240-pin",DDR3 ,1690,https://www.citilink.ru/product/modul-pamyati-patriot-psd38g13332-ddr3-8gb-1333-dimm-ret-762798/
47,Crucial CT16G4DFRA32A ,1,16,3200,22-22-22,"DIMM, 288-pin",DDR4 ,3690,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-crucial-ct16g4dfra32a-rtl-pc4-25600-cl22-dimm-1825001/
48,Samsung M378A1K43EB2-CWE ,1,8,3200,?,"DIMM, 288-pin",DDR4 ,1890,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-samsung-m378a1k43eb2-cwe-oem-pc4-25600-cl21-28-1512773/
49,Kingston Fury Beast Black KF436C18BBK2/32 ,2,16,3600,18-22-22,"DIMM, 288-pin",DDR4 ,8490,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3600mhz-kingston-kf436c18bbk2-32-rtl-pc4-28800-cl18-1561161/
50,AMD R538G1601U2S-U ,1,8,1600,11-11-11-28,"DIMM, 240-pin",DDR3 ,1190,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-amd-r538g1601u2s-u-rtl-pc3-12800-cl11-udimm-24-1777082/
51,Kingston VALUERAM KVR32N22S6/8 ,1,8,3200,22-22-22,"DIMM, 288-pin",DDR4 ,1990,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kvr32n22s6-8-rtl-pc4-25600-cl22-dimm-1430233/
52,Kingston VALUERAM KVR26S19S8/8 ,1,8,2666,19-19-19,"SO-DIMM, 260-pin",DDR4 ,1990,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26s19s8-8-ddr4-8gb-2666-so-dimm-ret-1107382/
53,Kingston Fury Renegade Black KF436C16RBK2/16 ,2,8,3600,16-20-20,"DIMM, 288-pin",DDR4 ,4890,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3600mhz-kingston-kf436c16rbk2-16-rtl-cl17-dimm-288-p-1560210/
54,Kingston Fury Renegade Black KF432C16RBK2/16 ,2,8,3200,16-18-18,"DIMM, 288-pin",DDR4 ,4590,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-kingston-kf432c16rbk2-16-rtl-pc4-25600-cl16-1560205/
55,Kingston Fury Beast KF436C17BBK2/16 ,2,8,3600,17-21-21,"DIMM, 288-pin",DDR4 ,4590,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3600mhz-kingston-kf436c17bbk2-16-rtl-cl17-dimm-288-p-1560206/
56,KINGSPEC KS1600D3P13508G ,1,8,1600,11-11-11,"DIMM, 240-pin",DDR3L,1190,https://www.citilink.ru/product/pamyat-ddr3l-8gb-1600mhz-kingspec-ks1600d3p13508g-rtl-pc3-12800-dimm-2-1742092/
57,Patriot PSD34G1600L2S ,1,4,1600,?,"SO-DIMM, 204-pin",DDR3L,990,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g1600l2s-ddr3l-4gb-1600-so-dimm-ret-425890/
58,NETAC Basic NTBSD3P16SP-04 ,1,4,1600,11-11-11-28,"DIMM, 240-pin",DDR3 ,750,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-netac-ntbsd3p16sp-04-basic-rtl-pc3-12800-cl11-1740127/
59,KIMTIGO KMTS4G8581600 ,1,4,1600,?,"SO-DIMM, 204-pin",DDR3L,890,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-kimtigo-kmts4g8581600-rtl-pc4-21300-cl19-so-di-1830491/
60,Patriot PSD22G8002S ,1,2,800,6-6-6,"SO-DIMM, 200-pin",DDR2 ,1090,https://www.citilink.ru/product/modul-pamyati-patriot-psd22g8002s-ddr2-2gb-800-so-dimm-ret-505550/
61,Crucial CT8G4SFRA32A ,1,8,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,1790,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-crucial-ct8g4sfra32a-rtl-pc4-25600-cl22-so-dim-1825005/
62,Patriot PSD38G1600L2S ,1,8,1600,?,"SO-DIMM, 204-pin",DDR3L,1590,https://www.citilink.ru/product/modul-pamyati-patriot-psd38g1600l2s-ddr3l-8gb-1600-so-dimm-ret-397576/
63,Kingston Fury Beast RGB KF436C18BBAK2/32 ,2,16,3600,18-22-22,"DIMM, 288-pin",DDR4 ,8990,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3600mhz-kingston-kf436c18bbak2-32-fury-beast-rgb-rt-1808896/
64,Patriot PSD34G16002S ,1,4,1600,11-11-11,"SO-DIMM, 204-pin",DDR3 ,950,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g16002s-ddr3-4gb-1600-so-dimm-ret-889868/
65,Patriot Viper EliteII PVE2416G266C6K ,2,8,2666,16-17-17-36,"DIMM, 288-pin",DDR4 ,3490,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-2666mhz-patriot-pve2416g266c6k-viper-eliteii-rtl-pc4-1604407/
66,Kingston Fury Beast Black RGB KF432C16BBA/8 ,1,8,3200,16-18-18,"DIMM, 288-pin",DDR4 ,2290,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kf432c16bba-8-fury-beast-black-rgb-rt-1790365/
67,NETAC Basic NTBSD4N32SP-16 ,1,16,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,3190,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-netac-ntbsd4n32sp-16-basic-oem-pc4-25600-cl22-1740128/
68,Patriot PSD22G80026 ,1,2,800,6-6-6,"DIMM, 240-pin",DDR2 ,1090,https://www.citilink.ru/product/modul-pamyati-patriot-psd22g80026-ddr2-2gb-800-dimm-ret-62890/
69,Patriot Signature PSD48G320081S ,1,8,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-patriot-psd48g320081s-signature-rtl-cl19-so-di-1715021/
70,Kingston VALUERAM KVR26N19S8/8 ,1,8,2666,19-19-19,"DIMM, 288-pin",DDR4 ,1990,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26n19s8-8-ddr4-8gb-2666-dimm-ret-1107375/
71,Kingston Fury Beast KF552C40BBK2-32 ,2,16,5200,40-40-40,"DIMM, 288-pin",DDR5 ,11290,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-5200mhz-kingston-kf552c40bbk2-32-fury-beast-rtl-cl4-1628858/
72,NETAC Basic NTBSD4P32SP-08 ,1,8,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-netac-ntbsd4p32sp-08-basic-rtl-pc4-25600-cl6-d-1740123/
73,Kingston Fury Beast RGB KF432C16BB1A/16 ,1,16,3200,16-18-18,"DIMM, 288-pin",DDR4 ,4390,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingston-kf432c16bb1a-16-rtl-pc4-25600-cl16-d-1560744/
74,Silicon Power SP008GBSFU240B02 ,1,8,2400,?,"SO-DIMM, 260-pin",DDR4 ,1790,https://www.citilink.ru/product/pamyat-ddr4-8gb-2400mhz-silicon-power-sp008gbsfu240b02-rtl-pc3-19200-c-1840478/
75,Kingston VALUERAM KVR26N19S6/8 ,1,8,2666,19-19-19,"DIMM, 288-pin",DDR4 ,1990,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26n19s6-8-ddr4-8gb-2666-dimm-ret-1421635/
76,Kingston KVR16S11/8WP ,1,8,1600,11-11-11,"SO-DIMM, 204-pin",DDR3 ,3890,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-kingston-kvr16s11-8wp-rtl-pc3-12800-cl11-so-di-1520960/
77,Patriot Signature PSD44G266681 ,1,4,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,1090,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd44g266681-ddr4-4gb-2666-dimm-ret-1147805/
78,Patriot Viper 3 PV316G186C0K ,2,8,1866,10-11-10-30,"DIMM, 240-pin",DDR3 ,3790,https://www.citilink.ru/product/modul-pamyati-patriot-viper-3-pv316g186c0k-ddr3-2x-8gb-1866-dimm-ret-1007729/
79,Silicon Power SP008GBSFU320B02 ,1,8,3200,?,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-silicon-power-sp008gbsfu320b02-rtl-pc4-25600-c-1840496/
80,Kingston Fury Impact KF432S20IB/8 ,1,8,3200,20-22-22,"SO-DIMM, 260-pin",DDR4 ,1990,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kf432s20ib-8-rtl-pc4-25600-cl20-so-di-1560751/
81,NETAC Basic NTBSD4P32SP-16 ,1,16,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,2890,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-netac-ntbsd4p32sp-16-basic-rtl-pc4-25600-cl6-1740121/
82,Kingston Fury Beast KF552C40BB-16 ,1,16,5200,40-40-40,"DIMM, 288-pin",DDR5 ,5490,https://www.citilink.ru/product/pamyat-ddr5-16gb-5200mhz-kingston-kf552c40bb-16-fury-beast-rtl-cl40-di-1628857/
83,Crucial CT16G4SFRA32A ,1,16,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,3790,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-crucial-ct16g4sfra32a-rtl-pc4-25600-cl22-so-d-1825007/
84,Kingston VALUERAM KVR32S22S6/8 ,1,8,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,2090,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kvr32s22s6-8-valueram-rtl-pc4-25600-c-1651575/
85,A-Data Premier AD4S32008G22-RGN ,1,8,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-a-data-ad4s32008g22-rgn-rtl-pc4-25600-cl22-so-1839861/
86,Patriot Viper Steel PVS416G320C6 ,1,16,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,3490,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g320c6-ddr4-16gb-3200-dimm-ret-1175241/
87,KINGSPEC KS3200D4N12008G ,1,8,3200,?,"SO-DIMM, 260-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingspec-ks3200d4n12008g-rtl-pc3-12800-so-dimm-1742120/
88,Patriot Viper 4 Blackout PVB416G320C6K ,2,8,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,3690,https://www.citilink.ru/product/modul-pamyati-patriot-viper-4-blackout-pvb416g320c6k-ddr4-2x-8gb-3200-1210863/
89,A-Data Premier AD4U26668G19-RGN ,1,8,2666,19-19-19,"DIMM, 288-pin",DDR4 ,1690,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-a-data-ad4u26668g19-rgn-rtl-pc4-25600-cl19-dim-1839866/
90,Patriot PSD34G1600L81S ,1,4,1600,11-11-11,"SO-DIMM, 204-pin",DDR3L,890,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g1600l81s-ddr3l-4gb-1600-so-dimm-ret-486726/
91,Hikvision KED4081CBA1D0ZA1/8G ,1,8,2666,?,"DIMM, 288-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-hikvision-hked4081cba1d0za1-8g-oem-pc4-21300-c-1848206/
92,Digma DGMAS43200008S ,1,8,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-digma-dgmas43200008s-rtl-pc4-25600-cl22-so-dim-1784367/
93,Patriot Viper Elite II PVE2416G320C8K ,2,8,3200,18-22-22-42,"DIMM, 288-pin",DDR4 ,3690,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-patriot-pve2416g320c8k-rtl-pc4-25600-cl18-di-1554998/
94,Kingston VALUERAM KVR16LS11/4WP ,1,4,1600,11-11-11,"SO-DIMM, 204-pin",DDR3L,2190,https://www.citilink.ru/product/pamyat-ddr3l-4gb-1600mhz-kingston-kvr16ls11-4wp-rtl-pc3-12800-cl11-so-1520889/
95,Digma DGMAD42666008D ,1,8,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-digma-dgmad42666008d-rtl-pc4-21300-cl19-dimm-2-1892914/
96,Kingston Fury Beast Black KF426C16BB/8 ,1,8,2666,16-18-18,"DIMM, 288-pin",DDR4 ,1990,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-kingston-kf426c16bb-8-rtl-pc4-21300-cl16-dimm-1560734/
97,Patriot Signature PSD416G266681S ,1,16,2666,19-19-19-43,"SO-DIMM, 260-pin",DDR4 ,2890,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-patriot-psd416g266681s-rtl-pc4-21300-cl17-so-1396311/
98,Patriot PSD34G133381 ,1,4,1333,9-9-9,"DIMM, 240-pin",DDR3 ,890,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g133381-ddr3-4gb-1333-dimm-ret-867169/
99,Patriot Signature PSD416G266681 ,1,16,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-patriot-psd416g266681-rtl-pc4-21300-cl19-dimm-1391625/
100,AMD Radeon R7 Performance Series R748G2133U2S-U ,1,8,2133,15-15-15-35,"DIMM, 288-pin",DDR4 ,1290,https://www.citilink.ru/product/pamyat-ddr4-8gb-2133mhz-amd-r748g2133u2s-u-radeon-r7-performance-serie-1777088/
101,Patriot PSD44G213381S ,1,4,2133,?,"SO-DIMM, 260-pin",DDR4 ,990,https://www.citilink.ru/product/modul-pamyati-patriot-psd44g213381s-ddr4-4gb-2133-so-dimm-ret-397577/
102,Corsair Vengeance LPX CMK16GX4M2A2666C16 ,2,8,2666,16-18-18-36,"DIMM, 288-pin",DDR4 ,5690,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk16gx4m2a2666c16-ddr4-2x-8gb-266-330745/
103,Kingston Fury Renegade RGB KF436C16RBAK2/16 ,2,8,3600,16-20-20,"DIMM, 288-pin",DDR4 ,5790,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3600mhz-kingston-kf436c16rbak2-16-rtl-cl16-dimm-288-1560211/
104,NETAC Basic NTBSD4P26SP-08 ,1,8,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-netac-ntbsd4p26sp-08-basic-rtl-cl19-dimm-288-p-1740124/
105,AMD Radeon R7 Performance Series R7416G2606S2S-U ,1,16,2666,16-18-18-35,"SO-DIMM, 260-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-amd-r7416g2606s2s-u-rtl-pc4-21300-cl16-so-dim-1517486/
106,Kingston Fury Beast Black RGB KF432C16BBAK2/16 ,2,8,3200,16-18-18,"DIMM, 288-pin",DDR4 ,4790,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-kingston-kf432c16bbak2-16-fury-beast-black-r-1790366/
107,Patriot Viper Elite II PVE248G320C8 ,1,8,3200,18-22-22-42,"DIMM, 288-pin",DDR4 ,1790,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-patriot-pve248g320c8-rtl-pc4-25600-cl18-dimm-2-1554989/
108,Patriot Viper EliteII PVE248G266C6 ,1,8,2666,16-17-17-36,"DIMM, 288-pin",DDR4 ,1690,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-patriot-pve248g266c6-viper-eliteii-rtl-pc4-213-1616711/
109,Kingston Fury Beast Black KF432C16BB/32 ,1,32,3200,16-20-20,"DIMM, 288-pin",DDR4 ,7190,https://www.citilink.ru/product/pamyat-ddr4-32gb-3200mhz-kingston-kf432c16bb-32-rtl-pc4-25600-cl16-dim-1560896/
